,Country Name,Total cases per million
110,Afghanistan,46.931999999999995
247,Africa,26.057
315,Albania,260.616
447,Algeria,83.214
510,Andorra,9616.256
565,Angola,0.8220000000000001
615,Anguilla,199.97299999999998
672,Antigua and Barbuda,245.078
742,Argentina,91.02600000000001
870,Armenia,651.99
924,Aruba,936.628
1061,Asia,106.53
1198,Australia,264.237
1335,Austria,1700.346
1465,Azerbaijan,169.343
1524,Bahamas,203.43400000000003
1660,Bahrain,1651.991
1732,Bangladesh,39.238
1791,Barbados,278.38599999999997
1921,Belarus,1291.945
2058,Belgium,4084.173
2111,Belize,45.269
2171,Benin,5.279
2228,Bermuda,1766.4160000000002
2291,Bhutan,9.072000000000001
2355,Bolivia,90.208
2399,Bonaire Sint Eustatius and Saba,228.824
2463,Bosnia and Herzegovina,484.026
2508,Botswana,9.78
2645,Brazil,338.19300000000004
2695,British Virgin Islands,198.43200000000002
2761,Brunei,315.441
2828,Bulgaria,201.34
2892,Burkina Faso,30.522
2937,Burundi,1.261
3065,Cambodia,7.297000000000001
3129,Cameroon,68.033
3266,Canada,1325.1760000000002
3322,Cape Verde,203.24200000000002
3379,Cayman Islands,1065.125
3440,Central African Republic,10.352
3497,Chad,3.1660000000000004
3569,Chile,751.457
3706,China,58.318999999999996
3778,Colombia,116.916
3853,Congo,37.513000000000005
3922,Costa Rica,138.395
3985,Cote d'Ivoire,44.848
4122,Croatia,498.62800000000004
4184,Cuba,126.869
4237,Curacao,97.50200000000001
4302,Cyprus,955.59
4439,Czech Republic,700.72
4503,Democratic Republic of Congo,5.482
4640,Denmark,1528.089
4698,Djibouti,1085.018
4752,Dominica,222.25
4880,Dominican Republic,591.451
5012,Ecuador,1374.932
5145,Egypt,49.27
5203,El Salvador,53.19
5265,Equatorial Guinea,224.521
5320,Eritrea,10.997
5457,Estonia,1251.377
5520,Ethiopia,1.0959999999999999
5657,Europe,1691.549
5714,Faeroe Islands,3826.87
5756,Falkland Islands,3732.415
5813,Fiji,20.079
5950,Finland,855.485
6087,France,1943.131
6145,French Polynesia,206.476
6208,Gabon,106.931
6267,Gambia,4.138
6401,Georgia,128.097
6538,Germany,1881.5179999999998
6601,Ghana,53.777
6665,Gibraltar,4185.094
6801,Greece,243.115
6858,Greenland,193.757
6912,Grenada,159.97299999999998
6970,Guam,859.091
7032,Guatemala,31.09
7094,Guinea,94.42
7144,Guinea-Bissau,37.094
7206,Guyana,95.352
7263,Haiti,6.665
7326,Honduras,74.51100000000001
7404,Hungary,282.288
7541,Iceland,5260.073
7677,India,22.704
7831,Indonesia,34.772
7968,Iran,1102.2830000000001
8103,Iraq,45.92
8238,Ireland,4025.48
8294,Isle of Man,3633.926
8431,Israel,1801.043
8568,Italy,3332.764
8595,"Italy, people tested",
8658,Jamaica,128.666
8795,Japan,109.522
8883,"Japan, tests performed",
8944,Jordan,44.006
9008,Kazakhstan,163.128
9072,Kenya,6.955
9133,Kosovo,408.73900000000003
9267,Kuwait,805.5139999999999
9325,Kyrgyzstan,111.738
9377,Laos,2.611
9454,Latvia,443.219
9587,Lebanon,105.04799999999999
9648,Liberia,27.878
9700,Libya,8.878
9766,Liechtenstein,2176.364
9896,Lithuania,493.702
10026,Luxembourg,5976.267
10154,Macedonia,682.065
10210,Madagascar,4.622
10253,Malawi,1.882
10389,Malaysia,180.77599999999998
10456,Maldives,453.249
10507,Mali,20.936999999999998
10577,Malta,1019.163
10639,Mauritania,1.505
10696,Mauritius,261.05400000000003
10833,Mexico,129.928
10900,Moldova,901.8430000000001
11025,Monaco,2420.752
11086,Mongolia,11.591
11145,Montenegro,511.096
11200,Montserrat,2200.44
11274,Morocco,115.197
11328,Mozambique,2.432
11382,Myanmar,2.7569999999999997
11444,Namibia,6.297000000000001
11575,Nepal,1.8530000000000002
11712,Netherlands,2241.978
11768,New Caledonia,63.049
11903,New Zealand,233.502
11961,Nicaragua,1.962
12017,Niger,29.289
12143,Nigeria,7.432
12280,North America,2978.0029999999997
12326,Northern Mariana Islands,243.237
12463,Norway,1402.815
12600,Oceania,190.38
12731,Oman,417.301
12863,Pakistan,67.38600000000001
12931,Palestine,97.03200000000001
12999,Panama,1436.925
13055,Papua New Guinea,0.894
13124,Paraguay,33.508
13196,Peru,945.959
13329,Philippines,72.622
13403,Poland,322.829
13479,Portugal,2385.476
13528,Puerto Rico,489.36699999999996
13661,Qatar,4137.713
13796,Romania,603.815
13933,Russia,641.096
13995,Rwanda,16.368
14046,Saint Kitts and Nevis,281.997
14108,Saint Lucia,81.686
14161,Saint Vincent and the Grenadines,144.213
14297,San Marino,16294.419
14334,Sao Tome and Principe,50.191
14405,Saudi Arabia,576.695
14480,Senegal,49.152
14559,Serbia,1248.715
14621,Seychelles,111.85700000000001
14666,Sierra Leone,13.038
14803,Singapore,2555.577
14860,Sint Maarten (Dutch part),1748.986
14929,Slovakia,253.49599999999998
15000,Slovenia,677.2710000000001
15060,Somalia,33.222
15141,South Africa,84.23700000000001
15278,South America,357.754
15415,South Korea,209.892
15455,South Sudan,3.037
15592,Spain,4575.831
15719,Sri Lanka,28.906999999999996
15782,Sudan,7.252000000000001
15839,Suriname,17.046
15901,Swaziland,61.198
16038,Sweden,1942.8139999999999
16175,Switzerland,3371.7259999999997
16229,Syria,2.457
16365,Taiwan,18.012999999999998
16440,Tanzania,5.122999999999999
16570,Thailand,42.092
16637,"Thailand, people tested",
16690,Timor,18.203
16753,Togo,11.958
16817,Trinidad and Tobago,82.887
16885,Tunisia,82.49700000000001
16948,Turkey,1359.4289999999999
17000,Turks and Caicos Islands,309.933
17055,Uganda,1.7269999999999999
17118,Ukraine,215.166
17249,United Arab Emirates,1150.611
17386,United Kingdom,2373.759
17426,"United Kingdom, tests performed",
17562,United States,3059.139
17614,United States Virgin Islands,565.01
17678,Uruguay,179.922
17739,Uzbekistan,57.934
17801,Vatican,11124.845
17863,Venezuela,11.57
17999,Vietnam,2.7739999999999996
18019,Western Sahara,10.045
18156,World,391.983
18192,Yemen,0.034
18250,Zambia,5.167999999999999
18306,Zimbabwe,2.153
